rank,title,titleTitle,year,kind,isbn,genres,publisher,primaryPerson,rating,parentalAdvisory,circs,price,kids mode
26,Dinosaur World,,2018,EBOOK,9.78151E+12,"Games & Activities, Juvenile Nonfiction, Puzzles","The Rosen Publishing Group, Inc",William Potter,,FALSE,2,,TRUE
27,Little Pim: Let's Eat! - Arabic for Kids,,2009,MOVIE,,"Children's, Educational, Language Learning",1091 Media,Little Pim,G,FALSE,2,1.99,TRUE
28,Grimm's Fairy Tales,,2018,AUDIOBOOK,9.78197E+12,Children's,"Dreamscape Media, LLC",Jacob Grimm,,FALSE,2,,TRUE
29,An Accidental Date with a Billionaire,,2019,EBOOK,9.78164E+12,"Billionaires, Contemporary, Fiction, Romance","Entangled Publishing, LLC",Diane Alberts,,FALSE,2,,FALSE
30,Renegades,,2017,AUDIOBOOK,9.78143E+12,"Action & Adventure, Teen",Macmillan Audio,Marissa Meyer,,FALSE,2,3.99,FALSE
31,I Found You,,2017,AUDIOBOOK,9.78152E+12,Mystery,"Dreamscape Media, LLC",Lisa Jewell,,FALSE,2,2.99,FALSE
32,Shall We Dance?,,2004,MOVIE,,"Comedy, Drama",Miramax,Richard Gere,PG13,FALSE,2,2.98,FALSE
33,Swiss Family Robinson,,2019,AUDIOBOOK,9.78165E+12,"Children's, Classics",Oasis Audio,Johann David Wyss,,FALSE,2,,TRUE
34,Better Sleep Hypnosis,,2019,AUDIOBOOK,9.78198E+12,Health & Fitness,Author's Republic,Mindfulness Training,,FALSE,2,,FALSE
35,The Last Anniversary,,2010,EBOOK,9.78006E+12,"Contemporary, Fiction, Humorous, Romance, Women",HarperCollins,Liane Moriarty,,FALSE,2,2.49,FALSE
36,The 5 Languages of Appreciation in the Workplace,,2019,AUDIOBOOK,9.78162E+12,Christian Living,Oasis Audio,Gary Chapman,,FALSE,2,,FALSE
37,Crisis on Infinite Earths: Deluxe Edition,,2019,COMIC,9.78178E+12,"Drama, Media Tie-In, Sci-Fi, Superhero",DC Comics,Marv Wolfman,M,FALSE,2,3.99,FALSE
38,Incidents in the Life of a Slave Girl,,2019,AUDIOBOOK,9.78197E+12,Biography,"Dreamscape Media, LLC",Harriet Ann Jacobs,,FALSE,2,,FALSE
39,The Hunger Games (Special Edition),,2018,AUDIOBOOK,9.78134E+12,Teen,Scholastic,Suzanne Collins,,FALSE,2,1.99,FALSE
40,Twisting the Truth Participant's Guide,,2009,EBOOK,9.78031E+12,"Adult, Christian Education, Religion",Zondervan,Andy Stanley,,FALSE,2,1.19,FALSE
41,The Double Clue,,2019,AUDIOBOOK,9.78197E+12,"Classics, Mystery","Dreamscape Media, LLC",Agatha Christie,,FALSE,2,,FALSE
42,Have You Seen Me?,,2020,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Kate White,,FALSE,2,2.99,FALSE
43,The Radium Girls,,2017,AUDIOBOOK,9.78168E+12,Biography,HighBridge,Kate Moore,,FALSE,2,2.64,FALSE
44,The Louvre,,1978,MOVIE,,"Award Winning, Documentary",Monterey,Sidney Carroll,NRT,FALSE,2,1.49,FALSE
45,The Daughter In Law,,2019,EBOOK,9.78184E+12,"Dating, Family & Relationships, Fiction, Parent & Adult Child, Parenting, Psychological, Psychological, Suspense, Thrillers",Boldwood Books,Nina Manning,,FALSE,2,,FALSE
46,Pieces of Her,,2019,AUDIOBOOK,9.78154E+12,Mystery,Blackstone Publishing,Karin Slaughter,,FALSE,2,,FALSE
47,Potty Training,,2019,AUDIOBOOK,9.78109E+12,Self Help,Findaway Voices,Lucy Watson,,FALSE,2,0.69,FALSE
48,The Adventures of Captain Underpants,,2018,AUDIOBOOK,9.78134E+12,Children's,Scholastic,Dav Pilkey,,FALSE,2,,TRUE
49,Pride and Prejudice,,2013,AUDIOBOOK,9.78158E+12,Classics,L.A. Theatre Works,Jane Austen,,FALSE,2,,FALSE
50,The Murder at Road Hill House,,2011,MOVIE,,Drama,BBC Studios,Paddy Considine,NRA,FALSE,2,1.99,FALSE
51,The Pigeon Finds A Hot Dog!,,2010,MOVIE,,Children's,Weston Woods,Mo Willems,NRC,FALSE,2,0.99,TRUE
52,Shelter Mountain,,2013,EBOOK,9.78146E+12,"Contemporary, Fiction, Romance",MIRA Books,Robyn Carr,,FALSE,2,1.69,FALSE
53,Goodnight Moon,,1988,AUDIOBOOK,9.78055E+12,Children's,Weston Woods,Margaret Wise Brown,,FALSE,1,,TRUE
54,An Autumn War,,2014,AUDIOBOOK,9.78149E+12,Sci-Fi & Fantasy,Tantor Audio,Daniel Abraham,,FALSE,1,2.64,FALSE
55,Cornbread,,1988,MUSIC,,Jazz,Blue Note Records,Lee Morgan,,FALSE,1,1.49,FALSE
56,The Price of Spring,,2014,AUDIOBOOK,9.78149E+12,Sci-Fi & Fantasy,Tantor Audio,Daniel Abraham,,FALSE,1,2.64,FALSE
57,A Night in Tunisia,,1960,MUSIC,,Jazz,Blue Note Records,Art Blakey,,FALSE,1,1.49,FALSE
58,Sheet Music,,2010,EBOOK,9.78141E+12,"Christian Living, Love & Marriage, Religion, Self-help, Sexual Instruction","Tyndale House Publishers, Inc.",Dr. Kevin Leman,,FALSE,1,0.79,FALSE
59,The Bachelor's Bargain,,2011,EBOOK,9.78141E+12,"Christian, Fiction, Religious, Romance","Tyndale House Publishers, Inc.",Catherine Palmer,,FALSE,1,,FALSE
60,Glorious Appearing,,2011,EBOOK,9.78141E+12,"Christian, Fiction, Futuristic, Religious","Tyndale House Publishers, Inc.",Tim Lahaye,,FALSE,1,0.79,FALSE
61,Sunset,,2012,EBOOK,9.78141E+12,"Christian, Fiction","Tyndale House Publishers, Inc.",Karen Kingsbury,,FALSE,1,0.69,FALSE
62,Born of Persuasion,,2013,EBOOK,9.78141E+12,"Christian, Fiction, Historical, Historical, Historical, Romance","Tyndale House Publishers, Inc.",Jessica Dotta,,FALSE,1,0.49,FALSE
63,The Story Keeper,,2014,EBOOK,9.7815E+12,"Fiction, Women","Tyndale House Publishers, Inc.",Lisa Wingate,,FALSE,1,0.79,FALSE
64,The Scandalous Lady Wright,,2015,AUDIOBOOK,9.78198E+12,Romance,Blackstone Publishing,M. C. Beaton,,FALSE,1,1.49,FALSE
65,Green,,2009,AUDIOBOOK,9.78161E+12,Christian Mystery,Oasis Audio,Ted Dekker,,FALSE,1,2.49,FALSE
66,Wild at Heart,,2004,AUDIOBOOK,9.78161E+12,Christian Non-Fiction,Oasis Audio,John Eldredge,,FALSE,1,1.69,FALSE
67,The Clue at Black Creek Farm,,2015,AUDIOBOOK,9.78162E+12,"Children's, Mystery",Oasis Audio,Carolyn Keene,,FALSE,1,1.29,TRUE
68,Master Your Goals,,2015,AUDIOBOOK,9.78147E+12,Business,Gildan Audio,Zig Ziglar,,FALSE,1,1.64,FALSE
69,American Elf 1999,,2013,COMIC,9.7816E+12,"Anthologies, Humorous",Top Shelf Productions,James Kochalka,M,FALSE,1,0.99,FALSE
70,Locke & Key Vol 1: Welcome To Lovecraft,,2012,COMIC,9.7816E+12,"Horror, Mystery",IDW Publishing,Joe Hill,M,FALSE,1,1.39,FALSE
71,Sheet Music,,2014,AUDIOBOOK,9.78141E+12,Living,"Tyndale House Publishers, Inc.",Dr. Kevin Leman,,FALSE,1,1.49,FALSE
72,Ripped From the Pages,,2015,AUDIOBOOK,9.78168E+12,Mystery,"Dreamscape Media, LLC",Kate Carlisle,,FALSE,1,,FALSE
73,Pants on Fire,,2015,MOVIE,,"Comedy, Family",MarVista Entertainment,Bradley Steven Perry,NRC,FALSE,1,1.99,TRUE
74,Strangers on a Train,,2016,AUDIOBOOK,9.78198E+12,Mystery,Blackstone Publishing,Patricia Highsmith,,FALSE,1,1.49,FALSE
75,Quicklet On C.S. Lewis' The Screwtape Letters,,2012,EBOOK,9.78161E+12,Literary Criticism,Hyperink,Luke Trayser,,FALSE,1,0.49,FALSE
76,Death of a Perfect Wife,,2014,AUDIOBOOK,9.78198E+12,Mystery,Blackstone Publishing,M. C. Beaton,,FALSE,1,,FALSE
77,A Script for Danger,,2015,AUDIOBOOK,9.78162E+12,"Children's, Mystery",Oasis Audio,Carolyn Keene,,FALSE,1,0.99,TRUE
78,Creep,,2013,AUDIOBOOK,9.78145E+12,Mystery,Tantor Audio,Jennifer Hillier,,FALSE,1,2.44,FALSE
79,From the Dark,,2015,MOVIE,,"Horror, Vampires",MPI Media Group,Niamh Algar,NRA,FALSE,1,1.99,FALSE
80,The Soul of An Octopus,,2015,AUDIOBOOK,9.78162E+12,Science & Technology,HighBridge,Sy Montgomery,,FALSE,1,2.14,FALSE
81,Find the Good,,2015,AUDIOBOOK,9.78162E+12,Biography,HighBridge,Heather Lende,,FALSE,1,1.14,FALSE
82,The Trail of the Jedi,,2014,EBOOK,9.78148E+12,"Action & Adventure, Fantasy & Magic, Juvenile Fiction, Media Tie-in",Disney Book Group,Jude Watson,,FALSE,1,0.99,TRUE
83,The Dangerous Games,,2014,EBOOK,9.78148E+12,"Action & Adventure, Fantasy & Magic, Juvenile Fiction, Media Tie-in",Disney Book Group,Jude Watson,,FALSE,1,0.99,TRUE
84,Star Wars: Boba Fett:  Pursuit,,2014,EBOOK,9.78148E+12,"Action & Adventure, Fantasy & Magic, Juvenile Fiction, Media Tie-in",Disney Book Group,Elizabeth Hand,,FALSE,1,0.49,TRUE
85,Star Wars: Boba Fett:  The Fight to Survive,,2014,EBOOK,9.78148E+12,"Action & Adventure, Fantasy & Magic, Juvenile Fiction, Media Tie-in",Disney Book Group,Terry Bisson,,FALSE,1,0.99,TRUE
86,The Master of Disguise,,2014,EBOOK,9.78148E+12,"Action & Adventure, Fantasy & Magic, Juvenile Fiction, Media Tie-in",Disney Book Group,Jude Watson,,FALSE,1,0.99,TRUE
87,Prisoner B-3087,,2015,AUDIOBOOK,9.78134E+12,Children's,Scholastic,Alan Gratz,,FALSE,1,1.29,TRUE
88,F*ck Feelings,,2015,AUDIOBOOK,9.78149E+12,Self Help,Tantor Audio,"Michael Bennett, M.D.",,FALSE,1,2.44,FALSE
89,Hunter,,2016,AUDIOBOOK,9.78198E+12,"Sci-Fi & Fantasy, Teen",Blackstone Publishing,Mercedes Lackey,,FALSE,1,1.49,FALSE
90,Library of Souls,,2016,AUDIOBOOK,9.78198E+12,Sci-Fi & Fantasy,Blackstone Publishing,Ransom Riggs,,FALSE,1,1.49,FALSE
91,Miss Tonks Turns to Crime,,2012,AUDIOBOOK,9.78198E+12,Romance,Blackstone Publishing,M. C. Beaton,,FALSE,1,0.74,FALSE
92,Lady Fortescue Steps Out,,2012,AUDIOBOOK,9.78198E+12,Romance,Blackstone Publishing,M. C. Beaton,,FALSE,1,0.74,FALSE
93,Rescue Road,,2015,EBOOK,9.78149E+12,"Dogs, Essays & Narratives, Pets",Sourcebooks Inc,Peter Zheutlin,,FALSE,1,1.49,FALSE
94,The Story of Coffee: The History of Coffee & How to Make the Perfect Cup,,2007,MOVIE,,Documentary,1091 Media,Jack Roberts,NRC,FALSE,1,1.99,FALSE
95,When the Smoke Clears,,2012,EBOOK,9.78144E+12,"Christian, Fiction, Romance, Romance, Suspense, Suspense",Baker Publishing Group,Lynette Eason,,FALSE,1,1.49,FALSE
96,Beverly Lewis' The Confession,,2013,EBOOK,9.78144E+12,"Amish & Mennonite, Christian, Fiction, Religious",Baker Publishing Group,Beverly Lewis,,FALSE,1,1.49,FALSE
97,Abiding in Christ,,2003,EBOOK,9.78144E+12,"Devotional, Religion",Baker Publishing Group,Andrew Murray,,FALSE,1,0.99,FALSE
98,A Passion Redeemed,,2008,EBOOK,9.78144E+12,"Christian, Fiction, Historical, Religious",Baker Publishing Group,Julie Lessman,,FALSE,1,0.99,FALSE
99,A Passion Most Pure,,2008,EBOOK,9.78144E+12,"Christian, Fiction, Historical, Religious",Baker Publishing Group,Julie Lessman,,FALSE,1,0.99,FALSE
100,A Passion Denied,,2009,EBOOK,9.78144E+12,"Christian, Fiction, Historical, Religious",Baker Publishing Group,Julie Lessman,,FALSE,1,0.99,FALSE
101,All the Tea in China,,2007,EBOOK,9.78159E+12,"Christian, Fiction, Historical, Romance",Baker Publishing Group,Jane Orcutt,,FALSE,1,0.99,FALSE
102,Fahrenheit 451,,2014,AUDIOBOOK,9.7816E+12,Drama,Audible Studios,Ray Bradbury,,FALSE,1,1.49,FALSE
103,An Introductory Guide to Wine,,2007,MOVIE,,Educational,1091 Media,Jack Roberts,NRT,FALSE,1,1.99,FALSE
104,Relaxing Music with Nature Sounds,,2015,MUSIC,,Electronic,Serenity Music,Relaxing Music,,FALSE,1,1.49,FALSE
105,Mary Queen of Scots,,2013,MOVIE,,"Docudrama, Drama, Period Film","MouseTrap Films, LLC",Camille Rutherford,NRT,FALSE,1,1.99,FALSE
106,For Whom the Minivan Rolls,,2002,EBOOK,9.78189E+12,"Amateur Sleuth, Fiction, Humorous, Mystery & Detective",Bancroft Press,Jeffrey Cohen,,FALSE,1,0.49,FALSE
107,North! Or Be Eaten,,2015,AUDIOBOOK,9.78163E+12,Action & Adventure,christianaudio.com,Andrew Peterson,,FALSE,1,2.44,FALSE
108,The Wonder of Your Love,,2011,AUDIOBOOK,9.78161E+12,Religious,christianaudio.com,Beth Wiseman,,FALSE,1,1.84,FALSE
109,The Monster in the Hollows,,2015,AUDIOBOOK,9.78163E+12,Action & Adventure,christianaudio.com,Andrew Peterson,,FALSE,1,2.14,FALSE
110,The Warden and the Wolf King,,2015,AUDIOBOOK,9.78163E+12,Action & Adventure,christianaudio.com,Andrew Peterson,,FALSE,1,2.64,FALSE
111,Seek Me With All Your Heart,,2010,AUDIOBOOK,9.7816E+12,Religious,christianaudio.com,Beth Wiseman,,FALSE,1,1.84,FALSE
112,CEB Common English Bible Audio Edition with Music - Matthew,,2014,AUDIOBOOK,9.78161E+12,Religious,Common English Bible,Various Authors,,FALSE,1,1.14,FALSE
113,The Pilgrim's Progress,,2006,AUDIOBOOK,9.7816E+12,Religious,christianaudio.com,John Bunyan,,FALSE,1,2.14,FALSE
114,My Utmost for His Highest,,2007,AUDIOBOOK,9.7816E+12,Religious,christianaudio.com,Oswald Chambers,,FALSE,1,2.64,FALSE
115,Amy Carmichael,,2012,AUDIOBOOK,9.78158E+12,"Biography, Christian Non-Fiction",YWAM Publishing,Janet Benge,,FALSE,1,,FALSE
116,The Red Slippers,,2016,AUDIOBOOK,9.78162E+12,"Children's, Mystery",Oasis Audio,Carolyn Keene,,FALSE,1,0.99,TRUE
117,Wicked New Albany,,2011,EBOOK,9.78163E+12,"History, State & Local - Midwest, True Crime, United States",Arcadia Publishing Inc.,Gregg Seidl,,FALSE,1,0.99,FALSE
118,Freedom,,2014,MOVIE,,"Drama, Musicals, Overcoming Adversity",SHAMI MEDIA GROUP,,NRT,FALSE,1,1.99,FALSE
119,Act Of Treason,,2006,AUDIOBOOK,9.78074E+12,Mystery,Simon & Schuster Audio,Vince Flynn,,FALSE,1,3.99,FALSE
120,Protect And Defend,,2007,AUDIOBOOK,9.78074E+12,Mystery,Simon & Schuster Audio,Vince Flynn,,FALSE,1,3.99,FALSE
121,Consent To Kill,,2005,AUDIOBOOK,9.78074E+12,Mystery,Simon & Schuster Audio,Vince Flynn,,FALSE,1,3.99,FALSE
122,My Little Pony: Friendship is Magic Vol. 3,,2020,COMIC,9.78162E+12,"Children's, Fantasy, Humorous, Media Tie-In",IDW Publishing,Katie Cook,E,FALSE,1,0.99,TRUE
123,Pies and Prejudice,,2016,AUDIOBOOK,9.78152E+12,Mystery,Tantor Audio,Ellery Adams,,FALSE,1,1.84,FALSE
124,Three James Herriot Classics,,2011,EBOOK,9.78145E+12,"Biography & Autobiography, Essays & Narratives, Medical, Personal Memoirs, Pets, Veterinary Medicine",Open Road Media,James Herriot,,FALSE,1,3.99,FALSE
125,Executive Power,,2003,AUDIOBOOK,9.78074E+12,Political,Simon & Schuster Audio,Vince Flynn,,FALSE,1,3.99,FALSE
126,Memorial Day,,2004,AUDIOBOOK,9.78074E+12,Political,Simon & Schuster Audio,Vince Flynn,,FALSE,1,3.99,FALSE
127,Until July,,2016,AUDIOBOOK,9.78152E+12,Romance,Tantor Audio,Aurora Rose Reynolds,,FALSE,1,1.84,FALSE
128,The One and Only Ivan,,2013,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Katherine Applegate,,FALSE,1,2.49,TRUE
129,The Alchemist,,2005,AUDIOBOOK,9.78006E+12,Fiction,HarperAudio,Paulo Coelho,,FALSE,1,2.99,FALSE
130,To Kill a Mockingbird,,2014,AUDIOBOOK,9.78006E+12,Classics,Caedmon,Harper Lee,,FALSE,1,2.99,FALSE
131,Yes Please,,2014,AUDIOBOOK,9.78006E+12,Biography,HarperAudio,Amy Poehler,,FALSE,1,2.99,FALSE
132,American Gods,,2011,AUDIOBOOK,9.78006E+12,Sci-Fi & Fantasy,HarperAudio,Neil Gaiman,,FALSE,1,2.99,FALSE
133,"Men are From Mars, Women are From Venus",,2005,AUDIOBOOK,9.78006E+12,Self Help,HarperAudio,John Gray,,FALSE,1,2.99,FALSE
134,Serpent on the Crown,,2005,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Elizabeth Peters,,FALSE,1,2.99,FALSE
135,No Mark Upon Her,,2012,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Deborah Crombie,,FALSE,1,2.99,FALSE
136,The Mouse and the Motorcycle,,2007,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Beverly Cleary,,FALSE,1,2.49,TRUE
137,Pete the Cat: Construction Destruction,,2015,AUDIOBOOK,9.78006E+12,"Children's, Fiction",HarperFestival,James Dean,,FALSE,1,,TRUE
138,Runaway Ralph,,2007,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Beverly Cleary,,FALSE,1,2.49,TRUE
139,I Am Number Four,,2010,AUDIOBOOK,9.78006E+12,Sci-Fi & Fantasy,HarperCollins,Pittacus Lore,,FALSE,1,1.49,FALSE
140,Molly's Game,,2014,AUDIOBOOK,9.78006E+12,Biography,HarperAudio,Molly Bloom,,FALSE,1,2.99,FALSE
141,Manhunt,,2005,AUDIOBOOK,9.78006E+12,Fiction,HarperAudio,Janet Evanovich,,FALSE,1,2.99,FALSE
142,Naughty Neighbor,,2008,AUDIOBOOK,9.78006E+12,Fiction,HarperAudio,Janet Evanovich,,FALSE,1,1.99,FALSE
143,Wife for Hire,,2007,AUDIOBOOK,9.78006E+12,Fiction,HarperAudio,Janet Evanovich,,FALSE,1,1.99,FALSE
144,Back to the Bedroom,,2005,AUDIOBOOK,9.78006E+12,Fiction,HarperAudio,Janet Evanovich,,FALSE,1,1.99,FALSE
145,The Girl with a Clock for a Heart,,2014,AUDIOBOOK,9.78006E+12,Fiction,HarperAudio,Peter Swanson,,FALSE,1,2.99,FALSE
146,Death on the Nile,,2012,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Agatha Christie,,FALSE,1,2.99,FALSE
147,The Secrets of Sir Richard Kenworthy,,2015,AUDIOBOOK,9.78006E+12,Romance,HarperAudio,Julia Quinn,,FALSE,1,3.99,FALSE
148,Merry Pinkmas!,,2013,AUDIOBOOK,9.78006E+12,"Children's, Comedy",HarperFestival,Victoria Kann,,FALSE,1,0.49,TRUE
149,The Henry Huggins Audio Collection,,2011,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Beverly Cleary,,FALSE,1,3.99,TRUE
150,A Bear Called Paddington,,2005,AUDIOBOOK,9.78006E+12,"Children's, Fiction",HarperFestival,Michael Bond,,FALSE,1,2.99,TRUE
151,A Streetcar Named Desire,,2009,AUDIOBOOK,9.78006E+12,Fiction,Caedmon,Tennessee Williams,,FALSE,1,2.99,FALSE
152,The Happiness Project,,2009,AUDIOBOOK,9.78006E+12,Self Help,HarperAudio,Gretchen Rubin,,FALSE,1,3.99,FALSE
153,Otis Spofford,,2009,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Beverly Cleary,,FALSE,1,2.99,TRUE
154,Happiness for Dummies,,2008,AUDIOBOOK,9.78006E+12,Self Help,HarperAudio,W. Doyle Gentry,,FALSE,1,1.99,FALSE
155,Hellfire - What She Doesn't Know,,2016,EBOOK,9.78168E+12,"Contemporary, Fantasy, Fiction, Sagas, Women",Speedy Publishing LLC,Stacia Ford,,FALSE,1,0.49,FALSE
156,Anne of Green Gables,,2016,AUDIOBOOK,9.78152E+12,Classics,"Dreamscape Media, LLC",L. M. Montgomery,,FALSE,1,2.99,FALSE
157,Finding Zach,,2010,EBOOK,9.78162E+12,"Contemporary, Fiction, Gay, LGBT, LGBT - Gay, Romance",Dreamspinner Press,Rowan Speedwell,,FALSE,1,0.69,FALSE
158,Beginners Guide to Working From Home,,2017,EBOOK,9.78163E+12,"Business & Economics, Decision-making & Problem Solving, Education, Handbooks & Manuals, Home-based Businesses, New Business Enterprises, Reference",Editorial Imagen LLC,Michael A. Hudson,,FALSE,1,0.49,FALSE
159,130 Work From Home Ideas,,2017,EBOOK,9.78163E+12,"Business & Economics, Decision-making & Problem Solving, Education, Handbooks & Manuals, Home-based Businesses, New Business Enterprises, Reference",Editorial Imagen LLC,Michael A. Hudson,,FALSE,1,0.49,FALSE
160,The Run,,2005,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Stuart Woods,,FALSE,1,3.49,FALSE
161,Here's the Story,,2008,AUDIOBOOK,9.78006E+12,Biography,HarperAudio,Maureen McCormick,,FALSE,1,3.99,FALSE
162,The Problem of Pain,,2012,AUDIOBOOK,9.78006E+12,Religious,HarperAudio,C. S. Lewis,,FALSE,1,2.99,FALSE
163,The Sign in the Smoke,,2016,AUDIOBOOK,9.78162E+12,"Children's, Mystery",Oasis Audio,Carolyn Keene,,FALSE,1,1.29,TRUE
164,There Once Were Stars,,2016,EBOOK,9.78194E+12,"Dystopian, Science Fiction, Young Adult Fiction","Month9Books, LLC",Melanie McFarlane,,FALSE,1,0.49,FALSE
165,African Myths and Folk Tales,,2012,EBOOK,9.78049E+12,"Country & Ethnic, Fairy Tales & Folklore, Juvenile Fiction",Dover Publications,Carter Godwin Woodson,,FALSE,1,0.49,TRUE
166,Blood Royal,,2014,AUDIOBOOK,9.78148E+12,History,Hachette Audio,Eric Jager,,FALSE,1,3.99,FALSE
167,For Whom the Minivan Rolls,,2012,AUDIOBOOK,9.78161E+12,Mystery,Books In Motion,Jeffrey Cohen,,FALSE,1,1.69,FALSE
168,Safe People,,2003,AUDIOBOOK,9.78031E+12,Religious,Zondervan,Henry Cloud,,FALSE,1,2.99,FALSE
169,Boundaries in Dating,,2009,AUDIOBOOK,9.78031E+12,Religious,Zondervan,Henry Cloud,,FALSE,1,2.99,FALSE
170,How to Get a Date Worth Keeping,,2011,AUDIOBOOK,9.78031E+12,Religious,Zondervan,Henry Cloud,,FALSE,1,2.99,FALSE
171,Amish Gathering,,2010,AUDIOBOOK,9.7816E+12,Christian Romance,Thomas Nelson,Beth Wiseman,,FALSE,1,2.99,FALSE
172,Old King Log,"I, Claudius - Season 1",1976,TELEVISION,,Drama,Acorn,Derek Jacobi,NRC,FALSE,1,1.99,FALSE
173,Curiosities of the California Desert,,2015,EBOOK,9.78163E+12,"Deserts, Ecosystems & Habitats, Nature, Photography, Pictorials, Regional, Subjects & Themes, Travel",Arcadia Publishing Inc.,Claudia Heller,,FALSE,1,0.99,FALSE
174,Forbidden,,2016,AUDIOBOOK,9.78006E+12,Romance,HarperAudio,Beverly Jenkins,,FALSE,1,2.99,FALSE
175,The Colorado Kid,,2005,AUDIOBOOK,9.78074E+12,Mystery,Simon & Schuster Audio,Stephen King,,FALSE,1,3.99,FALSE
176,One for the Money,,1996,AUDIOBOOK,9.78074E+12,Mystery,Simon & Schuster Audio,Janet Evanovich,,FALSE,1,1.99,FALSE
