rank,title,titleTitle,year,kind,isbn,genres,publisher,primaryPerson,rating,parentalAdvisory,circs,price,kids mode
66,Locke & Key Vol 1: Welcome To Lovecraft,,2012,COMIC,9.7816E+12,"Horror, Mystery",IDW Publishing,Joe Hill,M,FALSE,1,1.39,FALSE
67,Dance-Off,,2014,MOVIE,,"Comedy, Family, Romance, Romantic Comedy, Sports",Freestyle Digital Media,Shane Harper,NRC,FALSE,1,1.99,TRUE
68,Sheet Music,,2014,AUDIOBOOK,9.78141E+12,Living,"Tyndale House Publishers, Inc.",Dr. Kevin Leman,,FALSE,1,1.49,FALSE
69,Bone Cold,,2015,AUDIOBOOK,9.78149E+12,Mystery,Tantor Audio,Debra Webb,,FALSE,1,1.64,FALSE
70,The Girl Who Wrote in Silk,,2016,AUDIOBOOK,9.78198E+12,Drama,Blackstone Publishing,Kelli Estes,,FALSE,1,1.49,FALSE
71,The Red Door,,2010,AUDIOBOOK,9.78198E+12,Mystery,Blackstone Publishing,Charles Todd,,FALSE,1,1.49,FALSE
72,"Very Good, Jeeves",,2012,AUDIOBOOK,9.78198E+12,Drama,Blackstone Publishing,P. G. Wodehouse,,FALSE,1,1.99,FALSE
73,Tales of the Otherworld,,2010,AUDIOBOOK,9.78198E+12,Sci-Fi & Fantasy,Blackstone Publishing,Kelley Armstrong,,FALSE,1,2.99,FALSE
74,Oh Crap! Potty Training,,2015,AUDIOBOOK,9.78149E+12,Self Help,Tantor Audio,Jamie Glowacki,,FALSE,1,1.84,FALSE
75,Men of the Otherworld,,2009,AUDIOBOOK,9.78198E+12,Sci-Fi & Fantasy,Blackstone Publishing,Kelley Armstrong,,FALSE,1,1.99,FALSE
76,Whiskey Distilled,,2014,AUDIOBOOK,9.78147E+12,Living,Gildan Audio,Heather Greene,,FALSE,1,1.64,FALSE
77,Wolf Trouble,,2015,AUDIOBOOK,9.78149E+12,Romance,Tantor Audio,Paige Tyler,,FALSE,1,1.84,FALSE
78,Ten Beach Road,,2012,AUDIOBOOK,9.78145E+12,Drama,Tantor Audio,Wendy Wax,,FALSE,1,2.64,FALSE
79,Eye of the Beholder,,2015,AUDIOBOOK,9.78162E+12,Science & Technology,HighBridge,Laura J. Snyder,,FALSE,1,2.64,FALSE
80,The Tapestry,,2015,AUDIOBOOK,9.78162E+12,Action & Adventure,HighBridge,Nancy Bilyeau,,FALSE,1,2.64,FALSE
81,The Hobbit (Dramatized),,2009,AUDIOBOOK,9.7816E+12,Classics,HighBridge,J. R. R. Tolkien,,FALSE,1,1.44,FALSE
82,God and the Evolving Universe,,2001,AUDIOBOOK,9.7816E+12,Self Help,HighBridge,James Redfield,,FALSE,1,1.64,FALSE
83,Coming Home to Mustang Ridge,,2015,AUDIOBOOK,9.78149E+12,Romance,Tantor Audio,Jesse Hayworth,,FALSE,1,1.84,FALSE
84,The Blood of Olympus,,2014,EBOOK,9.78142E+12,"Action & Adventure, Fantasy & Magic, Greek & Roman, Juvenile Fiction, Legends, Myths, Fables",Disney Book Group,Rick Riordan,,FALSE,1,1.99,TRUE
85,The House of Hades,,2013,EBOOK,9.78142E+12,"Action & Adventure, Fantasy & Magic, Greek & Roman, Juvenile Fiction, Legends, Myths, Fables",Disney Book Group,Rick Riordan,,FALSE,1,0.99,TRUE
86,Heroes of Olympus,,2014,EBOOK,9.78148E+12,"Action & Adventure, Fantasy & Magic, Greek & Roman, Juvenile Fiction, Legends, Myths, Fables",Disney Book Group,Rick Riordan,,FALSE,1,2.99,TRUE
87,The Lightning Thief,,2010,EBOOK,9.78142E+12,"Action & Adventure, Greek & Roman, Juvenile Fiction, Legends, Myths, Fables, Media Tie-in",Disney Book Group,Rick Riordan,,FALSE,1,0.99,TRUE
88,Unoffendable,,2015,AUDIOBOOK,9.78149E+12,Self Help,Tantor Audio,Brant Hansen,,FALSE,1,1.44,FALSE
89,The Young Clementina,,2013,EBOOK,9.7814E+12,"Family Life, Fiction, Historical",Sourcebooks Inc,D. E. Stevenson,,FALSE,1,0.74,FALSE
90,365 Games Smart Toddlers Play,,2006,EBOOK,9.7814E+12,"Activities, Family & Relationships, Infants & Toddlers, Life Stages",Sourcebooks Inc,Sheila Ellison,,FALSE,1,,FALSE
91,Lives of the Artists,,2012,AUDIOBOOK,9.78154E+12,Biography,"Blackstone Audio, Inc.",Kathleen Krull,,FALSE,1,0.74,FALSE
92,The Double,,2013,AUDIOBOOK,9.78198E+12,Classics,Blackstone Publishing,Fyodor Dostoevsky,,FALSE,1,1.49,FALSE
93,"Carry On, Jeeves",,2012,AUDIOBOOK,9.78198E+12,Comedy,Blackstone Publishing,P. G. Wodehouse,,FALSE,1,1.99,FALSE
94,Strapped,,2009,EBOOK,9.78163E+12,"African American, Crime, Fiction, Urban",True 2 Life Publications,Al-Saadiq Banks,,FALSE,1,0.99,FALSE
95,Stepmonster,,2015,AUDIOBOOK,9.78149E+12,Nonfiction,Tantor Audio,Wednesday Martin,,FALSE,1,2.44,FALSE
96,Stealing the Preacher,,2013,EBOOK,9.78144E+12,"Christian, Fiction, Historical, Historical, Romance, Romance",Baker Publishing Group,Karen Witemeyer,,FALSE,1,1.49,FALSE
97,The Smart Stepfamily Participant's Guide,,2014,EBOOK,9.78144E+12,"Christian Living, Family & Relationships, Family & Relationships, Parenting, Religion, Stepparenting",Baker Publishing Group,Ron L. Deal,,FALSE,1,1.49,FALSE
98,A Cowboy Unmatched,,2014,EBOOK,9.78144E+12,"Christian, Fiction, Historical, Romance, Short Stories (single Author)",Baker Publishing Group,Karen Witemeyer,,FALSE,1,0.49,FALSE
99,The Smart Stepfamily,,2014,EBOOK,9.78144E+12,"Christian Living, Family & Relationships, Family & Relationships, Parenting, Religion, Stepparenting",Baker Publishing Group,Ron L. Deal,,FALSE,1,1.99,FALSE
100,"He Wins, She Wins Workbook",,2015,EBOOK,9.78144E+12,"Family & Relationships, Love & Romance, Marriage & Long Term Relationships",Baker Publishing Group,"Dr. Willard F. Harley, Jr.",,FALSE,1,1.99,FALSE
101,Huckleberry Hearts,,2015,AUDIOBOOK,9.78149E+12,"Christian Romance, Romance",Tantor Audio,Jennifer Beckstrand,,FALSE,1,2.14,FALSE
102,Lethal Letters,,2015,AUDIOBOOK,9.78149E+12,Mystery,Tantor Audio,Ellery Adams,,FALSE,1,2.14,FALSE
103,Safe House,,2015,AUDIOBOOK,9.78163E+12,Religious,christianaudio.com,Joshua Straub,,FALSE,1,2.14,FALSE
104,Radical,,2010,AUDIOBOOK,9.7816E+12,Religious,christianaudio.com,David Platt,,FALSE,1,1.64,FALSE
105,Dancing Through Life,,2015,AUDIOBOOK,9.78163E+12,Biography,christianaudio.com,Candace Cameron Bure,,FALSE,1,1.64,FALSE
106,Writing All Wrongs,,2015,AUDIOBOOK,9.78149E+12,Mystery,Tantor Audio,Ellery Adams,,FALSE,1,2.14,FALSE
107,Habit 1 Be Proactive,,2012,AUDIOBOOK,9.78144E+12,Self Help,Simon & Schuster Audio,Stephen R. Covey,,FALSE,1,2.99,FALSE
108,"Pot Holders, Pinchers & More",,2014,EBOOK,9.78159E+12,"Crafts & Hobbies, Sewing",House of White Birches,Chris Malone,,FALSE,1,0.99,FALSE
109,Sir Cumference and All the King's Tens,,2009,EBOOK,9.78161E+12,"Juvenile Nonfiction, Mathematics",Charlesbridge,Cindy Neuschwander,,FALSE,1,0.99,TRUE
110,"Yesterday, Today & Forever",,2009,EBOOK,9.78161E+12,"Biography & Autobiography, Christian Living, Inspirational, Religion, Religious","New Leaf Publishing Group, Inc.",Maria von Trapp,,FALSE,1,0.99,FALSE
111,Above and Beyond,,2004,AUDIOBOOK,9.78074E+12,Romance,Simon & Schuster Audio,Sandra Brown,,FALSE,1,3.99,FALSE
112,All Things Wise and Wonderful,,2011,EBOOK,9.78145E+12,"Biography & Autobiography, Essays & Narratives, Medical, Personal Memoirs, Pets, Veterinary Medicine",Open Road Media,James Herriot,,FALSE,1,2.05,FALSE
113,The Smart Stepfamily Marriage,,2015,EBOOK,9.78144E+12,"Christian Living, Family & Relationships, Love & Marriage, Marriage & Long Term Relationships, Religion",Baker Publishing Group,Ron L. Deal,,FALSE,1,1.99,FALSE
114,Sir Cumference and the First Round Table,,2011,EBOOK,9.78161E+12,"Adventure & Adventurers, Geometry, Juvenile Nonfiction, Mathematics",Charlesbridge,Cindy Neuschwander,,FALSE,1,0.99,TRUE
115,Ida,,2014,MOVIE,,Drama,Music Box Films,Agata Trzebuchowska,PG13,FALSE,1,1.49,FALSE
116,"The Lion, the Witch and the Wardrobe",,2005,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,C. S. Lewis,,FALSE,1,3.99,TRUE
117,The Alchemist,,2005,AUDIOBOOK,9.78006E+12,Fiction,HarperAudio,Paulo Coelho,,FALSE,1,3.99,FALSE
118,To Kill a Mockingbird,,2014,AUDIOBOOK,9.78006E+12,Classics,Caedmon,Harper Lee,,FALSE,1,3.99,FALSE
119,American Gods,,2011,AUDIOBOOK,9.78006E+12,Sci-Fi & Fantasy,HarperAudio,Neil Gaiman,,FALSE,1,3.99,FALSE
120,The E-Myth Revisited,,2005,AUDIOBOOK,9.78006E+12,Business,HarperAudio,Michael E. Gerber,,FALSE,1,3.99,FALSE
121,The Truth,,2015,AUDIOBOOK,9.78006E+12,Self Help,HarperAudio,Neil Strauss,,FALSE,1,3.99,FALSE
122,The Game,,2009,AUDIOBOOK,9.78006E+12,Biography,HarperAudio,Neil Strauss,,FALSE,1,3.99,FALSE
123,How Will You Measure Your Life?,,2012,AUDIOBOOK,9.78006E+12,Business,HarperAudio,Clayton M. Christensen,,FALSE,1,3.99,FALSE
124,The Long Utopia,,2015,AUDIOBOOK,9.78006E+12,Sci-Fi & Fantasy,HarperAudio,Terry Pratchett,,FALSE,1,3.99,FALSE
125,Big Nate,,2010,AUDIOBOOK,9.78006E+12,"Children's, Comedy",HarperCollins,Lincoln Peirce,,FALSE,1,2.99,TRUE
126,Cruel Crown,,2016,AUDIOBOOK,9.78006E+12,Sci-Fi & Fantasy,HarperTeen,Victoria Aveyard,,FALSE,1,3.99,FALSE
127,The Magician's Nephew,,2005,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,C. S. Lewis,,FALSE,1,3.99,TRUE
128,Pete the Cat and the Bedtime Blues,,2015,AUDIOBOOK,9.78006E+12,"Children's, Fiction",HarperCollins,James Dean,,FALSE,1,0.49,TRUE
129,I Am Number Four,,2010,AUDIOBOOK,9.78006E+12,Sci-Fi & Fantasy,HarperCollins,Pittacus Lore,,FALSE,1,1.49,FALSE
130,The Fall of Five,,2013,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Pittacus Lore,,FALSE,1,3.99,TRUE
131,Not My Father's Son,,2014,AUDIOBOOK,9.78006E+12,Biography,HarperAudio,Alan Cumming,,FALSE,1,3.99,FALSE
132,Hero at Large,,2010,AUDIOBOOK,9.78006E+12,Fiction,HarperAudio,Janet Evanovich,,FALSE,1,3.99,FALSE
133,Neverwhere,,2007,AUDIOBOOK,9.78006E+12,Sci-Fi & Fantasy,HarperAudio,Neil Gaiman,,FALSE,1,3.99,FALSE
134,Their Eyes Were Watching God,,2005,AUDIOBOOK,9.78006E+12,Fiction,HarperAudio,Zora Neale Hurston,,FALSE,1,3.99,FALSE
135,And Then There Were None,,2013,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Agatha Christie,,FALSE,1,3.99,FALSE
136,The Murder of Roger Ackroyd,,2012,AUDIOBOOK,9.78006E+12,Mystery,HarperAudio,Agatha Christie,,FALSE,1,3.99,FALSE
137,The Henry Huggins Audio Collection,,2011,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Beverly Cleary,,FALSE,1,3.99,TRUE
138,The Mysterious Howling,,2010,AUDIOBOOK,9.78006E+12,Children's,Balzer + Bray,Maryrose Wood,,FALSE,1,3.99,TRUE
139,Ramona and Her Father,,2010,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Beverly Cleary,,FALSE,1,2.99,TRUE
140,A Bear Called Paddington,,2005,AUDIOBOOK,9.78006E+12,"Children's, Fiction",HarperFestival,Michael Bond,,FALSE,1,2.99,TRUE
141,The Voyage of the Dawn Treader,,2005,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,C. S. Lewis,,FALSE,1,3.99,TRUE
142,Divergent,,2011,AUDIOBOOK,9.78006E+12,Sci-Fi & Fantasy,Katherine Tegen Books,Veronica Roth,,FALSE,1,3.99,FALSE
143,The Calling,,2012,AUDIOBOOK,9.78006E+12,Sci-Fi & Fantasy,HarperCollins,Kelley Armstrong,,FALSE,1,3.99,FALSE
144,Red Queen,,2015,AUDIOBOOK,9.78006E+12,Sci-Fi & Fantasy,HarperTeen,Victoria Aveyard,,FALSE,1,3.99,FALSE
145,The Rise of Nine,,2012,AUDIOBOOK,9.78006E+12,Action & Adventure,HarperCollins,Pittacus Lore,,FALSE,1,3.99,FALSE
146,Mere Christianity,,2014,AUDIOBOOK,9.78006E+12,Christian Non-Fiction,HarperAudio,C. S. Lewis,,FALSE,1,3.99,FALSE
147,Good Omens,,2009,AUDIOBOOK,9.78006E+12,Comedy,HarperAudio,Neil Gaiman,,FALSE,1,0.99,FALSE
148,The Best Christmas Pageant Ever,,2005,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Barbara Robinson,,FALSE,1,2.99,TRUE
149,The Neil Gaiman Audio Collection,,2005,AUDIOBOOK,9.78006E+12,Children's,HarperAudio,Neil Gaiman,,FALSE,1,1.99,TRUE
150,Ribsy,,2004,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Beverly Cleary,,FALSE,1,1.99,TRUE
151,The Best School Year Ever,,2005,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Barbara Robinson,,FALSE,1,2.99,TRUE
152,Ruby Holler,,2005,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Sharon Creech,,FALSE,1,1.99,TRUE
153,The Reptile Room,,2014,AUDIOBOOK,9.78006E+12,"Action & Adventure, Children's",HarperCollins,Lemony Snicket,,FALSE,1,3.49,TRUE
154,Mohammed,,2012,EBOOK,9.78049E+12,"History, Islam, Religion",Dover Publications,Tor Andrae,,FALSE,1,1.29,FALSE
155,The Life of Olaudah Equiano,,2012,EBOOK,9.78049E+12,"American - African American Studies, Biography & Autobiography, Ethnic Studies, Human Rights, Personal Memoirs, Political Science, Social Science",Dover Publications,Olaudah Equiano,,FALSE,1,0.49,FALSE
156,Fatherless,,2013,AUDIOBOOK,9.78162E+12,Christian Mystery,Hachette Audio,James C. Dobson,,FALSE,1,3.99,FALSE
157,The Saints' Everlasting Rest,,2016,AUDIOBOOK,9.78198E+12,Religious,Blackstone Publishing,Richard Baxter,,FALSE,1,1.99,FALSE
158,Piercing the Darkness,,2005,AUDIOBOOK,9.7816E+12,Religious,Books In Motion,Frank Peretti,,FALSE,1,2.99,FALSE
159,This Present Darkness,,2005,AUDIOBOOK,9.7816E+12,Religious,Books In Motion,Frank Peretti,,FALSE,1,2.69,FALSE
160,A Girl of the Limberlost,,1999,AUDIOBOOK,9.7816E+12,Classics,Books In Motion,Gene Stratton-Porter,,FALSE,1,2.29,FALSE
161,Joni,,2003,AUDIOBOOK,9.78031E+12,Biography,Zondervan,Joni Eareckson Tada,,FALSE,1,3.99,FALSE
162,Tidewater Inn,,2012,AUDIOBOOK,9.7814E+12,Christian Mystery,Thomas Nelson,Colleen Coble,,FALSE,1,3.99,FALSE
163,Rosemary Cottage,,2013,AUDIOBOOK,9.7814E+12,Fiction,Thomas Nelson,Colleen Coble,,FALSE,1,3.99,FALSE
164,Grace-Based Parenting,,2012,AUDIOBOOK,9.78142E+12,Living,Thomas Nelson,Tim Kimmel,,FALSE,1,3.49,FALSE
165,Seagrass Pier,,2014,AUDIOBOOK,9.78072E+12,Romance,Thomas Nelson,Colleen Coble,,FALSE,1,3.99,FALSE
166,Turnaround God,,2013,AUDIOBOOK,9.78085E+12,Religious,Thomas Nelson,Charlotte Gambill,,FALSE,1,3.99,FALSE
167,The Picture of Dorian Gray,,2016,AUDIOBOOK,9.78152E+12,Classics,"Dreamscape Media, LLC",Oscar Wilde,,FALSE,1,2.99,FALSE
168,Waiting in the Wings,"I, Claudius - Season 1",1976,TELEVISION,,Drama,Acorn,Derek Jacobi,NRC,FALSE,1,1.99,FALSE
169,What Shall We Do about Claudius?,"I, Claudius - Season 1",1976,TELEVISION,,Drama,Acorn,Derek Jacobi,NRC,FALSE,1,1.99,FALSE
170,Poison Is Queen,"I, Claudius - Season 1",1976,TELEVISION,,Drama,Acorn,Derek Jacobi,NRC,FALSE,1,1.99,FALSE
171,Some Justice,"I, Claudius - Season 1",1976,TELEVISION,,Drama,Acorn,Derek Jacobi,NRC,FALSE,1,1.99,FALSE
172,Queen of Heaven,"I, Claudius - Season 1",1976,TELEVISION,,Drama,Acorn,Derek Jacobi,NRC,FALSE,1,1.99,FALSE
173,Jake and Lily,,2012,AUDIOBOOK,9.78006E+12,Children's,Balzer + Bray,Jerry Spinelli,,FALSE,1,3.99,TRUE
174,Pinkalicious: The Pinkamazing Storybook Collection,,2013,AUDIOBOOK,9.78006E+12,"Children's, Comedy",HarperFestival,Victoria Kann,,FALSE,1,1.49,TRUE
175,Fanciest Doll in the Universe,,2013,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Jane O'Connor,,FALSE,1,0.49,TRUE
176,The Rising,,2013,AUDIOBOOK,9.78006E+12,Teen,HarperCollins,Kelley Armstrong,,FALSE,1,3.99,FALSE
177,The Best Halloween Ever,,2005,AUDIOBOOK,9.78006E+12,Children's,HarperCollins,Barbara Robinson,,FALSE,1,2.99,TRUE
178,The Hard Thing About Hard Things,,2014,AUDIOBOOK,9.78006E+12,Business,HarperAudio,Ben Horowitz,,FALSE,1,3.99,FALSE
